algorithm,N,M,adjust_sample_adaptive,compute_cost_matrix,get_accum_cost_and_steps,retrieve_path,adjust_sample
DTW1,100,400,9.5367431640625e-07,0.00040078163146972656,0.0011394023895263672,2.0742416381835938e-05,4.76837158203125e-07
DTW1,100,400,9.5367431640625e-07,0.0003972053527832031,0.0007770061492919922,1.52587890625e-05,4.76837158203125e-07
DTW1,100,400,9.5367431640625e-07,0.000377655029296875,0.0007569789886474609,1.4781951904296875e-05,4.76837158203125e-07
DTW1,100,400,9.5367431640625e-07,0.0003752708435058594,0.0007524490356445312,1.4066696166992188e-05,4.76837158203125e-07
DTW1,100,400,9.5367431640625e-07,0.00041556358337402344,0.0008313655853271484,1.4543533325195312e-05,4.76837158203125e-07
DTW1,100,400,1.1920928955078125e-06,0.0003752708435058594,0.0007681846618652344,1.3828277587890625e-05,7.152557373046875e-07
DTW1,100,400,9.5367431640625e-07,0.00037670135498046875,0.0007486343383789062,1.430511474609375e-05,7.152557373046875e-07
DTW1,100,400,1.1920928955078125e-06,0.0003998279571533203,0.0007982254028320312,1.3828277587890625e-05,4.76837158203125e-07
DTW1,100,400,9.5367431640625e-07,0.00037670135498046875,0.0007491111755371094,1.4543533325195312e-05,4.76837158203125e-07
DTW1,100,400,1.1920928955078125e-06,0.0003752708435058594,0.0007469654083251953,1.3828277587890625e-05,4.76837158203125e-07
DTW1,300,300,1.430511474609375e-06,0.0009505748748779297,0.0019199848175048828,2.47955322265625e-05,4.76837158203125e-07
DTW1,300,300,9.5367431640625e-07,0.0008313655853271484,0.001989603042602539,2.2649765014648438e-05,4.76837158203125e-07
DTW1,300,300,9.5367431640625e-07,0.000865936279296875,0.0017461776733398438,2.4080276489257812e-05,9.5367431640625e-07
DTW1,300,300,9.5367431640625e-07,0.0009036064147949219,0.0016236305236816406,2.1696090698242188e-05,7.152557373046875e-07
DTW1,300,300,1.1920928955078125e-06,0.0009696483612060547,0.0016810894012451172,2.193450927734375e-05,7.152557373046875e-07
