algorithm,global_time_warp,error_100,error_200,error_500
selectiveTransitions3,4.0,100.0,100.0,100.0
selectiveTransitions4,1.0,34.64646464646465,23.686868686868685,8.686868686868687
selectiveTransitions4,1.26,34.44444444444444,22.97979797979798,8.080808080808081
selectiveTransitions4,1.587,36.16161616161616,23.686868686868685,6.515151515151516
selectiveTransitions4,2.0,34.7979797979798,21.86868686868687,5.858585858585859
selectiveTransitions4,2.521,34.34343434343434,19.19191919191919,5.252525252525253
selectiveTransitions4,3.175,42.77777777777778,27.17171717171717,12.575757575757576
selectiveTransitions4,4.0,98.73737373737373,97.47474747474747,94.14141414141413
selectiveTransitions5,1.0,35.505050505050505,25.303030303030305,10.1010101010101
selectiveTransitions5,1.26,36.61616161616162,24.949494949494948,9.393939393939393
selectiveTransitions5,1.587,38.78787878787879,26.31313131313131,8.484848484848486
selectiveTransitions5,2.0,36.666666666666664,25.303030303030305,9.191919191919192
selectiveTransitions5,2.521,36.11111111111111,22.97979797979798,7.474747474747474
selectiveTransitions5,3.175,34.8989898989899,20.151515151515152,5.202020202020202
selectiveTransitions5,4.0,44.64646464646464,26.31313131313131,11.313131313131313
