algorithm,global_time_warp,error_100,error_200,error_500
adaptiveWeight2,1.0,47.276011523323355,37.167243350039044,20.999550031808095
adaptiveWeight2,1.26,45.936451043977925,35.8023398345979,19.326004541058303
adaptiveWeight2,1.587,45.6863825143395,35.727474437151855,19.406429890300856
adaptiveWeight2,2.0,44.27195663754804,34.62298354771473,18.620795771333405
adaptiveWeight2,2.521,44.628569359752156,35.22022581162366,19.160111095594967
adaptiveWeight2,3.175,44.742095817364635,35.49447366651668,19.7651114317781
adaptiveWeight2,4.0,45.761506514194686,36.64473718237159,20.83533750200417
selectiveTransitions2,1.0,29.92288476159444,16.123989511086283,4.773283267906924
selectiveTransitions2,1.26,28.50031290891506,14.391870574666275,3.4250596078553066
selectiveTransitions2,1.587,35.69773516010075,20.515058418284223,8.9036809466917
selectiveTransitions2,2.0,98.07186043745183,96.1552286821104,90.51627384960719
selectiveTransitions2,2.521,100.0,100.0,100.0
selectiveTransitions2,3.175,100.0,100.0,100.0
selectiveTransitions2,4.0,100.0,100.0,100.0
selectiveTransitions3,1.0,36.21429347235799,22.09149870440193,7.624374828675903
selectiveTransitions3,1.26,34.04099882594506,20.00599957589205,5.808856615308229
selectiveTransitions3,1.587,32.92228480400524,18.667085602569475,4.942021339870802
selectiveTransitions3,2.0,31.388513915395638,16.550424883758215,4.324866690458088
selectiveTransitions3,2.521,43.811773650483325,27.645631946707216,14.358640165091776
selectiveTransitions3,3.175,100.0,100.0,100.0
selectiveTransitions3,4.0,100.0,100.0,100.0
selectiveTransitions4,1.0,39.29411886401134,25.257050794685203,9.68207419820323
selectiveTransitions4,1.26,37.36235886773521,23.32425638877252,8.002580852043216
selectiveTransitions4,1.587,36.5860344354968,22.582455378154304,7.505417720471484
selectiveTransitions4,2.0,34.10758894629862,20.12987012987013,5.892255892255893
selectiveTransitions4,2.521,34.15478388596668,18.182852591454743,4.736432424604468
selectiveTransitions4,3.175,39.231019876181165,22.147874029594462,9.354812849436506
selectiveTransitions4,4.0,97.98639234123105,96.0163591884022,90.24461201880557
selectiveTransitions5,1.0,41.03722840281981,27.336989971398573,11.123911930363544
selectiveTransitions5,1.26,39.296058382079885,25.49923195084485,9.536351740652815
selectiveTransitions5,1.587,38.77471592525356,25.035040626438477,9.303738873631346
selectiveTransitions5,2.0,36.54517525485267,22.98173749786653,7.964178394285922
selectiveTransitions5,2.521,36.55396773676344,21.677993452187,6.571733722271357
selectiveTransitions5,3.175,34.937702679638164,18.561834422049476,4.944090159143923
selectiveTransitions5,4.0,42.93911982084025,23.771379954175654,10.060797426388826
