,time_warp,steps,align_type,0,1,2,3,4,5,6
34,1.26,"[[0, 1], [1, 0], [1, 1]]",DTW4,0.15072976341788397,0.3259466661754502,0.5233235704066658,0.0,0.0,0.0,0.0
35,2.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions3,0.102502844726829,0.551212806162116,0.34628434911105505,0.0,0.0,0.0,0.0
36,3.175,"[[0, 1], [1, 0], [1, 1]]",DTW3,0.20281613421575836,0.748853846084012,0.04833001970022968,0.0,0.0,0.0,0.0
37,2.521,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions4,0.09290029818435391,0.6400972091401571,0.26700249267548903,0.0,0.0,0.0,0.0
38,4.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleQuantized,0.19114204203820026,0.40442897898089986,0.40442897898089986,0.0,0.0,0.0,0.0
39,2.521,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleQuantized,0.11573957251769455,0.44213021374115274,0.44213021374115274,0.0,0.0,0.0,0.0
40,1.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions3,0.32147746622947576,0.3214867374784057,0.3570357962921185,0.0,0.0,0.0,0.0
41,1.587,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions4,0.2161548727859023,0.5060312998535033,0.2778138273605944,0.0,0.0,0.0,0.0
42,2.0,"[[0, 1], [1, 0], [1, 1]]",DTW3,0.29530597476521786,0.6476226668337666,0.057071358401015536,0.0,0.0,0.0,0.0
43,4.0,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleQuantized,0.10127158928854381,0.4493642053557281,0.4493642053557281,0.0,0.0,0.0,0.0
44,2.521,"[[0, 1], [1, 0], [1, 1]]",DTW_adaptiveWeight2,0.24245874637659115,0.699436334479207,0.05810491914420189,0.0,0.0,0.0,0.0
45,3.175,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleQuantized,0.1789851525534345,0.41050742372328275,0.41050742372328275,0.0,0.0,0.0,0.0
46,4.0,"[[0, 1], [1, 0], [1, 1]]",DTW_adaptiveWeight2,0.16280120740383386,0.7906683624728515,0.0465304301233146,0.0,0.0,0.0,0.0
47,3.175,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleQuantized,0.1079258954302182,0.4460370522848909,0.4460370522848909,0.0,0.0,0.0,0.0
