,file,time_warp,steps,align_type,0,1,2,3,4,5,6
75,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
76,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
77,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
78,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
79,experiments_test_steps/train_toy.x2000.x0630.DTW1_add3,3.175,"[[1 1]
 [1 2]
 [2 1]
 [1 3]
 [3 1]]",DTW1_add3,0,0,0,0,0,,
80,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
81,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
82,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
83,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
84,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
85,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
86,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
87,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
88,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
89,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
90,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
91,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
92,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
93,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
94,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
95,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
96,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
97,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
98,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
99,experiments_test_steps/train_toy.x2000.x0500.DTW_selectiveTransitions2,4.0,"[[0 1]
 [1 0]
 [1 1]]",DTW_selectiveTransitions2,0,0,0,,,,
100,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1093,2541,2541,,,,
101,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1007,2570,2570,,,,
102,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,832,2628,2628,,,,
103,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,949,2589,2589,,,,
104,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1000,2572,2572,,,,
105,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1063,2551,2551,,,,
106,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1021,2565,2565,,,,
107,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,934,2594,2594,,,,
108,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1021,2565,2565,,,,
109,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1105,2537,2537,,,,
110,experiments_test_steps/train_toy.x1588.x0794.DTW1_downsampleQuantized,2.0,"[[1 1]
 [1 2]
 [2 1]]",DTW1_downsampleQuantized,1013,2568,2568,,,,
