,time_warp,steps,align_type,0,1,2,3,4,5,6
88,1.26,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1], [1, 4], [4, 1]]",DTW1_add4,17184,7429,9130,7248.0,9327.0,26048.0,43119.0
89,3.175,"[[1, 1], [1, 2], [2, 1]]",DTW2,0,0,0,0.0,0.0,0.0,0.0
90,1.0,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1]]",DTW1_add3,18755,10301,10330,42470.0,42457.0,0.0,0.0
91,2.0,"[[0, 1], [1, 0]]",DTW_adaptiveWeight1,174326,348622,0.0,0.0,0.0,0.0,0.0
92,2.521,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1]]",DTW1_add3,6454,2115,6415,4555.0,107556.0,0.0,0.0
93,2.521,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleInterpolate,25549,107691,107691,0.0,0.0,0.0,0.0
94,1.587,"[[0, 1], [1, 0], [1, 1]]",DTW4,29883,132183,144443,0.0,0.0,0.0,0.0
95,2.521,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions5,49492,259794,88828,0.0,0.0,0.0,0.0
96,2.521,"[[0, 1], [1, 0]]",DTW_adaptiveWeight1,138320,348622,0.0,0.0,0.0,0.0,0.0
97,4.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions4,15,329288,109765,0.0,0.0,0.0,0.0
98,1.587,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleInterpolate,23684,84314,84314,0.0,0.0,0.0,0.0
99,1.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions5,135693,135696,83861,0.0,0.0,0.0,0.0
100,2.0,"[[0, 1], [1, 0], [1, 1]]",DTW_adaptiveWeight2,145813,320109,28513,0.0,0.0,0.0,0.0
101,2.521,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleQuantized,17399,40307,40307,0.0,0.0,0.0,0.0
102,1.26,"[[1, 1], [1, 2], [2, 1], [1, 3], [3, 1]]",DTW1_add3,19169,9433,12221,35539.0,62681.0,0.0,0.0
103,3.175,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions2,0,0,0,0.0,0.0,0.0,0.0
104,4.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions3,0,0,0,0.0,0.0,0.0,0.0
105,1.26,"[[1, 1], [1, 2], [2, 1]]",DTW1,21395,47029,104101,0.0,0.0,0.0,0.0
106,3.175,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleInterpolate,17591,40243,40243,0.0,0.0,0.0,0.0
107,1.26,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleQuantized,22412,65714,65714,0.0,0.0,0.0,0.0
108,2.0,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions2,8,156870,156886,0.0,0.0,0.0,0.0
109,4.0,"[[1, 1], [1, 2], [2, 1]]",DTW2,0,0,0,0.0,0.0,0.0,0.0
110,2.521,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions3,14745,225047,123575,0.0,0.0,0.0,0.0
111,1.26,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleInterpolate,24380,84082,84082,0.0,0.0,0.0,0.0
112,4.0,"[[0, 1], [1, 0]]",DTW5,109780,439053,0.0,0.0,0.0,0.0,0.0
113,3.175,"[[1, 1], [1, 2], [2, 1]]",DTW1,0,0,0,0.0,0.0,0.0,0.0
114,1.26,"[[1, 1], [1, 2], [2, 1]]",DTW1_downsampleInterpolate,22565,65663,65663,0.0,0.0,0.0,0.0
115,1.587,"[[0, 1], [1, 0], [1, 1]]",DTW_selectiveTransitions3,56527,158827,117799,0.0,0.0,0.0,0.0
116,3.175,"[[1, 1], [1, 2], [2, 1]]",DTW1_upsampleInterpolate,29118,136645,136645,0.0,0.0,0.0,0.0
117,2.0,"[[0, 1], [1, 0]]",DTW5,174326,348622,0.0,0.0,0.0,0.0,0.0
